2026-07-23T12:12:27+00:00 | scrobbled=0 | new_tracks=0
2026-07-23T12:24:43+00:00 | scrobbled=2 | new_tracks=2
2026-07-23T13:00:54+00:00 | scrobbled=4 | new_tracks=4
2026-07-23T15:01:05+00:00 | scrobbled=13 | new_tracks=13
2026-07-23T17:00:45+00:00 | scrobbled=0 | new_tracks=0
2026-07-23T19:00:42+00:00 | scrobbled=0 | new_tracks=0
2026-07-23T21:00:44+00:00 | scrobbled=0 | new_tracks=0
2026-07-23T23:16:24+00:00 | scrobbled=0 | new_tracks=0
2026-07-24T01:01:00+00:00 | scrobbled=13 | new_tracks=13
2026-07-24T03:00:52+00:00 | scrobbled=7 | new_tracks=7
2026-07-24T05:00:57+00:00 | scrobbled=12 | new_tracks=12
2026-07-24T07:00:48+00:00 | scrobbled=4 | new_tracks=4
2026-07-24T09:00:53+00:00 | scrobbled=4 | new_tracks=4
2026-07-24T11:02:20+00:00 | scrobbled=50 | new_tracks=50
2026-07-24T13:00:50+00:00 | scrobbled=3 | new_tracks=3
2026-07-24T15:00:51+00:00 | scrobbled=4 | new_tracks=4
2026-07-24T17:00:51+00:00 | scrobbled=0 | new_tracks=0
2026-07-24T19:00:41+00:00 | scrobbled=0 | new_tracks=0
2026-07-24T21:00:42+00:00 | scrobbled=0 | new_tracks=0
2026-07-24T23:00:43+00:00 | scrobbled=0 | new_tracks=0
2026-07-25T01:01:00+00:00 | scrobbled=15 | new_tracks=15
2026-07-25T03:01:03+00:00 | scrobbled=21 | new_tracks=21
2026-07-25T05:00:43+00:00 | scrobbled=0 | new_tracks=0
2026-07-25T07:00:49+00:00 | scrobbled=4 | new_tracks=4
2026-07-25T09:00:43+00:00 | scrobbled=0 | new_tracks=0
2026-07-25T11:00:56+00:00 | scrobbled=8 | new_tracks=8
2026-07-25T13:01:03+00:00 | scrobbled=15 | new_tracks=15
2026-07-25T14:03:08+00:00 | scrobbled=15 | new_tracks=15
2026-07-25T14:30:12+00:00 | scrobbled=5 | new_tracks=5
2026-07-25T15:00:52+00:00 | scrobbled=10 | new_tracks=10
2026-07-25T17:00:51+00:00 | scrobbled=10 | new_tracks=10
2026-07-25T19:00:39+00:00 | scrobbled=0 | new_tracks=0
2026-07-25T21:00:42+00:00 | scrobbled=0 | new_tracks=0
2026-07-25T23:00:36+00:00 | scrobbled=0 | new_tracks=0
2026-07-26T01:00:43+00:00 | scrobbled=4 | new_tracks=4
2026-07-26T03:00:42+00:00 | scrobbled=0 | new_tracks=0
2026-07-26T05:00:42+00:00 | scrobbled=4 | new_tracks=4
2026-07-26T07:00:46+00:00 | scrobbled=7 | new_tracks=7
2026-07-26T09:00:39+00:00 | scrobbled=0 | new_tracks=0
2026-07-26T11:00:41+00:00 | scrobbled=0 | new_tracks=0
2026-07-26T13:00:41+00:00 | scrobbled=0 | new_tracks=0
2026-07-26T15:00:41+00:00 | scrobbled=1 | new_tracks=1
2026-07-26T17:00:51+00:00 | scrobbled=5 | new_tracks=5
2026-07-26T19:00:39+00:00 | scrobbled=0 | new_tracks=0
2026-07-26T21:00:38+00:00 | scrobbled=0 | new_tracks=0
2026-07-26T23:00:38+00:00 | scrobbled=0 | new_tracks=0
2026-07-27T01:00:40+00:00 | scrobbled=0 | new_tracks=0
2026-07-27T03:00:43+00:00 | scrobbled=0 | new_tracks=0
2026-07-27T05:00:43+00:00 | scrobbled=0 | new_tracks=0
2026-07-27T07:01:40+00:00 | scrobbled=50 | new_tracks=50
2026-07-27T09:00:46+00:00 | scrobbled=0 | new_tracks=0
2026-07-27T11:00:50+00:00 | scrobbled=11 | new_tracks=11
2026-07-27T13:01:01+00:00 | scrobbled=12 | new_tracks=12
2026-07-27T15:00:53+00:00 | scrobbled=3 | new_tracks=3
2026-07-27T17:00:48+00:00 | scrobbled=0 | new_tracks=0
2026-07-27T19:00:44+00:00 | scrobbled=0 | new_tracks=0
2026-07-27T21:00:45+00:00 | scrobbled=0 | new_tracks=0
2026-07-27T23:00:43+00:00 | scrobbled=0 | new_tracks=0
2026-07-28T01:00:48+00:00 | scrobbled=0 | new_tracks=0
2026-07-28T03:00:43+00:00 | scrobbled=0 | new_tracks=0
